course_name,course_id,course_category,course_language,exercices_mandatory,language_professor,quality_language_lectures,language_assistant,quality_language_exercises,content_is_understandable,examples,difficulty_lectures,difficulty_exercices,listening_professor,responsiveness_professor,responsiveness_assistant,course_structure,course_independently,course_evaluation_modalities,course_activities,expectations_lectures,course_prepared_exam,effort_lectures,effort_exercises,effort_exam_preperation,exam_difficulty,open_book_exam,grading,statisfaction
User Centered Design,3018,"t0,t1",english,yes,good,moderate,moderate,very poor,disagree,disagree,moderate,very easy,moderate,moderate,good,agree,disagree,strongly disagree,disagree,neither agree nor disagree,agree,moderate,some,very much,easy,yes,5.5,very satisfied
User Centered Design,3018,"t0,t1",english,yes,good,very good,good,very poor,disagree,neither agree nor disagree,very difficult,easy,very poor,moderate,very good,strongly agree,strongly agree,neither agree nor disagree,agree,neither agree nor disagree,agree,some,a few,moderate,easy,yes,2.5,very dissatisfied
User Centered Design,3018,"t0,t1",english,yes,good,very poor,moderate,very poor,strongly agree,strongly agree,very easy,easy,very good,good,moderate,agree,disagree,neither agree nor disagree,neither agree nor disagree,strongly disagree,agree,some,moderate,some,easy,yes,3.0,satisfied
User Centered Design,3018,"t0,t1",english,yes,good,very poor,very poor,poor,agree,disagree,easy,very difficult,poor,very good,good,neither agree nor disagree,neither agree nor disagree,strongly agree,strongly disagree,neither agree nor disagree,agree,a few,a few,very few,moderate,yes,4.75,neither
User Centered Design,3018,"t0,t1",english,yes,very good,very good,moderate,very good,strongly disagree,neither agree nor disagree,difficult,moderate,very poor,very poor,very poor,neither agree nor disagree,strongly agree,strongly agree,strongly disagree,agree,disagree,moderate,moderate,a few,easy,yes,3.25,satisfied
User Centered Design,3018,"t0,t1",english,yes,poor,very poor,very poor,very good,strongly agree,agree,moderate,very easy,very good,very good,moderate,agree,neither agree nor disagree,disagree,neither agree nor disagree,agree,neither agree nor disagree,a few,some,moderate,moderate,yes,4.5,neither
User Centered Design,3018,"t0,t1",english,yes,very poor,good,very good,poor,neither agree nor disagree,disagree,moderate,very easy,very good,very good,poor,agree,disagree,neither agree nor disagree,agree,strongly agree,agree,a few,moderate,a few,very easy,yes,3.75,dissatisfied
User Centered Design,3018,"t0,t1",english,yes,good,moderate,poor,very poor,strongly agree,strongly disagree,very difficult,very easy,very good,poor,moderate,strongly agree,strongly disagree,strongly disagree,strongly agree,disagree,strongly agree,very few,moderate,moderate,easy,yes,5.5,very satisfied
User Centered Design,3018,"t0,t1",english,yes,good,very poor,poor,moderate,neither agree nor disagree,agree,difficult,easy,very poor,moderate,moderate,neither agree nor disagree,neither agree nor disagree,strongly disagree,strongly agree,neither agree nor disagree,strongly agree,some,very few,some,difficult,yes,3.75,very satisfied
User Centered Design,3018,"t0,t1",english,yes,very good,moderate,poor,poor,strongly disagree,strongly agree,moderate,easy,good,very poor,very good,strongly disagree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree,agree,very much,very much,a few,very difficult,yes,1.5,very dissatisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,very poor,good,very good,good,disagree,neither agree nor disagree,moderate,very difficult,very poor,very poor,good,disagree,agree,neither agree nor disagree,neither agree nor disagree,strongly agree,disagree,moderate,very few,a few,very easy,yes,6.0,very satisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,very good,poor,very poor,very poor,agree,strongly disagree,moderate,very easy,good,very poor,very poor,disagree,disagree,disagree,strongly disagree,strongly agree,strongly disagree,very few,very few,a few,very difficult,yes,4.75,very dissatisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,very good,very poor,very poor,good,agree,strongly agree,very easy,very difficult,good,very poor,good,neither agree nor disagree,strongly agree,neither agree nor disagree,disagree,neither agree nor disagree,disagree,moderate,some,a few,difficult,yes,1.25,very satisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,moderate,poor,poor,poor,neither agree nor disagree,neither agree nor disagree,moderate,very easy,moderate,poor,moderate,strongly disagree,neither agree nor disagree,strongly disagree,strongly agree,agree,strongly agree,very much,very few,some,very difficult,yes,1.75,very dissatisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,moderate,very good,moderate,good,strongly disagree,strongly disagree,difficult,difficult,very good,poor,moderate,strongly agree,agree,neither agree nor disagree,disagree,strongly disagree,agree,very much,some,very much,easy,yes,4.25,dissatisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,very poor,very poor,good,poor,strongly agree,agree,very difficult,very easy,good,moderate,good,agree,strongly disagree,agree,disagree,strongly disagree,agree,very few,very much,very few,very easy,yes,2.75,dissatisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,poor,very good,good,moderate,neither agree nor disagree,strongly agree,very difficult,easy,very good,very good,very good,strongly agree,strongly disagree,strongly disagree,strongly disagree,disagree,strongly agree,moderate,moderate,very much,very difficult,yes,3.0,dissatisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,very good,moderate,moderate,poor,disagree,agree,very easy,moderate,good,very good,very good,disagree,strongly agree,strongly disagree,disagree,disagree,strongly disagree,very much,a few,very few,moderate,yes,5.25,neither
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,poor,very poor,very poor,poor,disagree,strongly disagree,moderate,difficult,very good,very poor,very good,neither agree nor disagree,disagree,disagree,strongly disagree,strongly disagree,agree,a few,some,very much,very difficult,yes,4.25,very satisfied
Seminar Law and Computer Science: Distributed Trust in Finance,1892,t0,german,no,moderate,poor,moderate,poor,strongly disagree,strongly disagree,easy,difficult,very good,moderate,moderate,strongly agree,neither agree nor disagree,strongly disagree,strongly agree,strongly agree,disagree,very few,very much,moderate,easy,yes,2.75,neither
Advanced Software Engineering,13000,t1,english,yes,very poor,very poor,poor,very poor,neither agree nor disagree,disagree,moderate,very easy,poor,very poor,moderate,disagree,disagree,agree,disagree,disagree,strongly disagree,moderate,a few,very few,moderate,no,1.75,dissatisfied
Advanced Software Engineering,13000,t1,english,yes,poor,very poor,very poor,good,disagree,strongly disagree,easy,very easy,moderate,poor,good,agree,agree,strongly disagree,strongly disagree,agree,strongly disagree,a few,very much,very few,moderate,no,1.0,neither
Advanced Software Engineering,13000,t1,english,yes,good,very good,moderate,very poor,strongly agree,agree,very difficult,very difficult,good,very poor,moderate,strongly agree,neither agree nor disagree,strongly disagree,disagree,agree,agree,very much,moderate,very few,moderate,no,1.25,dissatisfied
Advanced Software Engineering,13000,t1,english,yes,very good,moderate,poor,very poor,strongly agree,disagree,very difficult,easy,very good,very good,moderate,agree,strongly disagree,agree,disagree,strongly disagree,disagree,moderate,very few,a few,difficult,no,5.25,neither
Advanced Software Engineering,13000,t1,english,yes,poor,very poor,poor,very poor,agree,disagree,very difficult,easy,moderate,very poor,very poor,agree,disagree,neither agree nor disagree,neither agree nor disagree,agree,strongly disagree,a few,very few,moderate,easy,no,1.0,dissatisfied
Cloud Computing,12083,t1,english,no,poor,poor,poor,poor,disagree,strongly agree,easy,very easy,very good,poor,good,disagree,disagree,strongly disagree,agree,strongly agree,disagree,very much,some,very much,very easy,no,1.75,dissatisfied
Cloud Computing,12083,t1,english,no,very poor,poor,very poor,very good,agree,agree,difficult,moderate,good,good,poor,strongly disagree,strongly disagree,strongly agree,disagree,strongly agree,strongly agree,very much,some,very few,easy,no,1.25,dissatisfied
Cloud Computing,12083,t1,english,no,poor,good,very good,very poor,neither agree nor disagree,disagree,very difficult,moderate,good,good,moderate,agree,agree,neither agree nor disagree,strongly disagree,strongly agree,disagree,very much,moderate,very much,difficult,no,2.0,very satisfied
Cloud Computing,12083,t1,english,no,moderate,good,poor,very poor,agree,neither agree nor disagree,moderate,very easy,good,moderate,good,strongly agree,agree,agree,agree,strongly disagree,disagree,very much,moderate,some,difficult,no,2.0,very dissatisfied
Cloud Computing,12083,t1,english,no,good,poor,moderate,good,disagree,disagree,very difficult,very easy,very poor,good,good,strongly disagree,disagree,strongly disagree,strongly agree,strongly disagree,strongly agree,a few,some,some,moderate,no,5.25,neither
Cloud Computing,12083,t1,english,no,moderate,very good,very good,moderate,disagree,strongly disagree,difficult,very easy,moderate,very good,very poor,neither agree nor disagree,strongly agree,neither agree nor disagree,disagree,neither agree nor disagree,strongly agree,very few,very much,very much,moderate,no,1.0,satisfied
Seminar Software Composition,21875,"t1,t2",german,yes,poor,very poor,good,moderate,strongly disagree,neither agree nor disagree,difficult,very easy,very good,very poor,good,disagree,strongly disagree,agree,neither agree nor disagree,strongly agree,strongly agree,a few,very much,a few,easy,yes,2.5,dissatisfied
Seminar Software Composition,21875,"t1,t2",german,yes,moderate,poor,very good,poor,disagree,strongly disagree,very difficult,moderate,moderate,very poor,poor,strongly disagree,agree,strongly agree,strongly disagree,neither agree nor disagree,strongly agree,moderate,very few,very much,moderate,yes,5.5,very satisfied
Seminar Software Composition,21875,"t1,t2",german,yes,moderate,very good,very good,good,strongly agree,strongly agree,difficult,very easy,very good,very good,good,strongly disagree,strongly disagree,neither agree nor disagree,neither agree nor disagree,agree,agree,moderate,a few,moderate,very difficult,yes,1.75,dissatisfied
Seminar Software Composition,21875,"t1,t2",german,yes,very poor,very good,moderate,very poor,strongly disagree,strongly agree,difficult,very difficult,good,moderate,poor,neither agree nor disagree,strongly agree,agree,strongly agree,strongly disagree,neither agree nor disagree,a few,some,very few,very difficult,yes,4.0,dissatisfied
